BCHEM 257 | Organic Chemistry I | JK Mensah = BC2(135)
BIOL 451 | Gene Expression, Modification & Genetics | JA Larbi = B4(159)
OPT 155 | General Optometry | NY Koomson = OD1(82)
BCHEM 451 | Human Nutrition & Introduction to Dietetics | RA Annan/CA Appiah = BC4(59)
MATH 267 | Abstract Algebra I | YE Ayekple = M2(191),ST2(302)
ACTS 261 | Mathematics for Finance | VK Dedu = AS2(154)
ENVS 259 | Systems Thinking & Stakeholder Analysis | F Nimo = ES2(255)
ENVS 357 | Introductory Geology | A Sulemana = ES3(120)
PHARM 387 | General Pharmacology | GA Kofour = OD3(43)
CSM 281 | Object Oriented Programming with Java | F Twum = CS2 Regular(190),CS2 Parallel(54)
CSM 495 | Introduction to Software Engineering | F Twum = CS4 Regular(104),CS4 Parallel(12)
ACTS 461 | Analysis of Survival Data | NK Frempong = AS4(122)
STAT 465 | Survival Analysis | NK Frempong = ST4(74)
CSM 561 | Advanced Database Systems | JG Davis = MPhil CS(8)
ACTS 663 | Financial Economics | YE Ayekple = MPhil AS(6)
CHEM 543 | Quantum Chemistry | E Adei = MPhil CC(1)
MSTAT 579 | Stochastic Process | EDJ Owusu-Ansah = MPhil MS(16)
PHY 545 | Advanced Programming I | E Yamba = All Classes(11)
PST 507 | Characterization of Polymers | JAM Awudza = MPhil PST(1)
NUT 555 | Public Health Nutrition I | RA Annan/AK Edusei = MPhil HND(14)
